Time,Latitude,Longitude,omTemp,omFeelLike,omPrecipProb,wTemp,wFeelLike,wPrecipProb,TEMPERATURE,FEELING,PRECIPITATION
2025-6-17 21:00,48.3,14.28,23.8,23.0,0.0,21.1,21.1,0.0,22.450000000000003,22.05,0.0
2025-6-17 22:00,48.3,14.28,21.9,21.5,0.0,19.1,19.1,0.0,20.5,20.3,0.0
2025-6-17 23:00,48.3,14.28,20.2,19.9,0.0,16.4,16.4,0.0,18.299999999999997,18.15,0.0
2025-6-18 0:00,48.3,14.28,18.8,18.9,0.0,15.3,15.3,0.0,17.05,17.1,0.0
2025-6-18 1:00,48.3,14.28,18.0,18.4,0.0,14.5,14.9,0.0,16.25,16.65,0.0
2025-6-18 2:00,48.3,14.28,17.2,17.5,0.0,13.8,14.2,0.0,15.5,15.85,0.0
2025-6-18 3:00,48.3,14.28,16.7,16.9,0.0,13.1,13.1,0.0,14.899999999999999,15.0,0.0
2025-6-18 4:00,48.3,14.28,16.0,16.4,0.0,13.4,13.6,0.0,14.7,15.0,0.0
2025-6-18 5:00,48.3,14.28,15.5,16.0,0.0,13.2,13.5,0.0,14.35,14.75,0.0
2025-6-18 6:00,48.3,14.28,14.4,14.9,0.0,12.8,13.3,0.0,13.600000000000001,14.100000000000001,0.0
2025-6-18 7:00,48.3,14.28,14.0,14.5,0.0,12.4,13.0,0.0,13.2,13.75,0.0
2025-6-18 8:00,48.3,14.28,15.0,15.6,0.0,13.2,13.9,0.0,14.1,14.75,0.0
2025-6-18 9:00,48.3,14.28,16.7,16.8,0.0,15.4,15.4,0.0,16.05,16.1,0.0
2025-6-18 10:00,48.3,14.28,18.5,18.7,0.0,17.2,17.2,0.0,17.85,17.95,0.0
2025-6-18 11:00,48.3,14.28,20.6,20.8,0.0,18.8,18.8,0.0,19.700000000000003,19.8,0.0
2025-6-18 12:00,48.3,14.28,22.5,23.3,0.0,19.9,19.9,0.0,21.2,21.6,0.0
2025-6-18 13:00,48.3,14.28,23.9,25.8,0.0,20.9,20.9,0.0,22.4,23.35,0.0
2025-6-18 14:00,48.3,14.28,25.3,27.9,0.0,22.7,24.7,0.0,24.0,26.299999999999997,0.0
2025-6-18 15:00,48.3,14.28,26.0,28.5,0.0,23.8,25.1,0.0,24.9,26.8,0.0
2025-6-18 16:00,48.3,14.28,26.7,28.4,0.0,24.6,25.4,0.0,25.65,26.9,0.0
2025-6-18 17:00,48.3,14.28,27.4,28.0,0.0,25.0,25.6,0.0,26.2,26.8,0.0
2025-6-18 18:00,48.3,14.28,27.5,26.8,0.0,25.1,25.7,0.0,26.3,26.25,0.0
2025-6-18 19:00,48.3,14.28,27.4,27.0,0.0,24.9,25.7,0.0,26.15,26.35,0.0
2025-6-18 20:00,48.3,14.28,26.8,26.9,0.0,24.2,25.5,0.0,25.5,26.2,0.0
2025-6-18 21:00,48.3,14.28,26.4,26.5,0.0,23.1,25.0,45.0,24.75,25.75,22.5
2025-6-18 22:00,48.3,14.28,23.7,24.7,0.0,20.6,20.6,0.0,22.15,22.65,0.0
2025-6-18 23:00,48.3,14.28,21.1,21.8,0.0,18.0,18.0,0.0,19.55,19.9,0.0
2025-6-19 0:00,48.3,14.28,19.8,20.7,0.0,16.7,16.7,0.0,18.25,18.7,0.0
2025-6-19 1:00,48.3,14.28,18.7,19.8,0.0,16.0,16.0,0.0,17.35,17.9,0.0
2025-6-19 2:00,48.3,14.28,17.7,18.9,0.0,15.3,15.3,0.0,16.5,17.1,0.0
2025-6-19 3:00,48.3,14.28,17.1,18.2,0.0,14.7,14.7,0.0,15.9,16.45,0.0
2025-6-19 4:00,48.3,14.28,17.2,18.3,0.0,14.3,15.1,0.0,15.75,16.7,0.0
2025-6-19 5:00,48.3,14.28,16.8,18.0,0.0,13.9,13.9,0.0,15.350000000000001,15.95,0.0
2025-6-19 6:00,48.3,14.28,15.5,16.4,0.0,13.9,13.9,0.0,14.7,15.149999999999999,0.0
2025-6-19 7:00,48.3,14.28,15.7,16.8,0.0,14.0,14.0,0.0,14.85,15.4,0.0
2025-6-19 8:00,48.3,14.28,17.0,18.1,0.0,14.7,14.7,0.0,15.85,16.4,0.0
2025-6-19 9:00,48.3,14.28,18.6,19.6,0.0,16.9,16.9,0.0,17.75,18.25,0.0
2025-6-19 10:00,48.3,14.28,20.5,21.2,0.0,19.2,19.2,0.0,19.85,20.2,0.0
2025-6-19 11:00,48.3,14.28,22.9,23.3,0.0,21.1,21.1,45.0,22.0,22.200000000000003,22.5
2025-6-19 12:00,48.3,14.28,24.9,25.9,0.0,22.5,24.7,45.0,23.7,25.299999999999997,22.5
2025-6-19 13:00,48.3,14.28,26.6,27.7,0.0,23.7,25.2,45.0,25.15,26.45,22.5
2025-6-19 14:00,48.3,14.28,27.8,27.2,0.0,24.5,25.6,45.0,26.15,26.4,22.5
2025-6-19 15:00,48.3,14.28,28.0,27.9,0.0,24.8,25.8,45.0,26.4,26.85,22.5
2025-6-19 16:00,48.3,14.28,28.9,28.4,0.0,25.0,26.0,45.0,26.95,27.2,22.5
2025-6-19 17:00,48.3,14.28,29.2,28.4,0.0,24.8,25.9,45.0,27.0,27.15,22.5
2025-6-19 18:00,48.3,14.28,28.9,27.7,0.0,24.2,25.6,100.0,26.549999999999997,26.65,50.0
2025-6-19 19:00,48.3,14.28,28.7,26.7,0.0,21.8,21.8,100.0,25.25,24.25,50.0
2025-6-19 20:00,48.3,14.28,28.2,27.6,0.0,21.5,21.5,45.0,24.85,24.55,22.5
2025-6-19 21:00,48.3,14.28,27.1,26.7,0.0,21.3,21.4,45.0,24.200000000000003,24.049999999999997,22.5
2025-6-19 22:00,48.3,14.28,25.1,25.0,0.0,19.8,19.8,45.0,22.450000000000003,22.4,22.5
2025-6-19 23:00,48.3,14.28,23.1,21.3,0.0,18.4,18.4,45.0,20.75,19.85,22.5
2025-6-20 0:00,48.3,14.28,21.8,19.7,0.0,16.8,16.8,0.0,19.3,18.25,0.0
2025-6-20 1:00,48.3,14.28,20.9,19.4,0.0,15.9,15.9,0.0,18.4,17.65,0.0
2025-6-20 2:00,48.3,14.28,19.8,17.9,0.0,15.7,15.7,0.0,17.75,16.799999999999997,0.0
2025-6-20 3:00,48.3,14.28,19.4,17.9,0.0,15.7,15.7,0.0,17.549999999999997,16.799999999999997,0.0
2025-6-20 4:00,48.3,14.28,18.5,16.9,0.0,14.9,15.0,0.0,16.7,15.95,0.0
2025-6-20 5:00,48.3,14.28,18.2,16.7,0.0,15.2,15.2,0.0,16.7,15.95,0.0
2025-6-20 6:00,48.3,14.28,17.5,16.0,0.0,15.7,15.7,0.0,16.6,15.85,0.0
2025-6-20 7:00,48.3,14.28,17.3,15.7,0.0,15.3,15.3,0.0,16.3,15.5,0.0
2025-6-20 8:00,48.3,14.28,17.6,15.9,0.0,14.6,14.6,0.0,16.1,15.25,0.0
2025-6-20 9:00,48.3,14.28,18.6,16.7,0.0,15.7,15.7,0.0,17.15,16.2,0.0
2025-6-20 10:00,48.3,14.28,19.6,17.6,0.0,17.6,17.6,0.0,18.6,17.6,0.0
2025-6-20 11:00,48.3,14.28,20.7,19.4,0.0,19.1,19.1,0.0,19.9,19.25,0.0
2025-6-20 12:00,48.3,14.28,22.2,22.3,0.0,20.4,20.4,0.0,21.299999999999997,21.35,0.0
2025-6-20 13:00,48.3,14.28,23.4,24.3,0.0,21.5,21.5,0.0,22.45,22.9,0.0
2025-6-20 14:00,48.3,14.28,24.7,25.9,0.0,22.1,24.3,0.0,23.4,25.1,0.0
2025-6-20 15:00,48.3,14.28,25.6,26.5,0.0,22.6,24.3,0.0,24.1,25.4,0.0
2025-6-20 16:00,48.3,14.28,26.0,26.2,0.0,23.2,24.3,0.0,24.6,25.25,0.0
2025-6-20 17:00,48.3,14.28,26.3,26.1,0.0,23.6,24.4,0.0,24.950000000000003,25.25,0.0
2025-6-20 18:00,48.3,14.28,26.8,26.2,0.0,23.7,24.3,0.0,25.25,25.25,0.0
2025-6-20 19:00,48.3,14.28,26.6,24.7,0.0,23.4,24.2,0.0,25.0,24.45,0.0
2025-6-20 20:00,48.3,14.28,25.4,22.7,0.0,22.6,24.3,0.0,24.0,23.5,0.0
2025-6-20 21:00,48.3,14.28,24.8,22.2,0.0,20.4,20.4,0.0,22.6,21.299999999999997,0.0
2025-6-20 22:00,48.3,14.28,22.8,20.2,0.0,17.6,17.6,0.0,20.200000000000003,18.9,0.0
2025-6-20 23:00,48.3,14.28,21.4,19.3,0.0,15.1,15.1,0.0,18.25,17.2,0.0
2025-6-21 0:00,48.3,14.28,20.3,18.1,0.0,13.8,13.1,0.0,17.05,15.600000000000001,0.0
2025-6-21 1:00,48.3,14.28,19.4,17.1,0.0,12.5,11.6,0.0,15.95,14.350000000000001,0.0
2025-6-21 2:00,48.3,14.28,18.6,16.4,0.0,11.7,10.8,0.0,15.15,13.6,0.0
2025-6-21 3:00,48.3,14.28,17.9,16.1,0.0,11.4,10.5,0.0,14.649999999999999,13.3,0.0
2025-6-21 4:00,48.3,14.28,17.8,15.8,0.0,11.0,10.1,0.0,14.4,12.95,0.0
2025-6-21 5:00,48.3,14.28,17.4,15.5,0.0,11.1,10.2,0.0,14.25,12.85,0.0
2025-6-21 6:00,48.3,14.28,16.7,15.0,0.0,10.8,10.1,0.0,13.75,12.55,0.0
2025-6-21 7:00,48.3,14.28,16.1,14.7,0.0,10.7,9.9,0.0,13.4,12.3,0.0
2025-6-21 8:00,48.3,14.28,16.5,15.1,0.0,11.2,10.5,0.0,13.85,12.8,0.0
2025-6-21 9:00,48.3,14.28,18.0,15.7,0.0,13.7,13.3,0.0,15.85,14.5,0.0
2025-6-21 10:00,48.3,14.28,19.1,16.6,0.0,16.1,16.1,0.0,17.6,16.35,0.0
2025-6-21 11:00,48.3,14.28,20.5,18.6,0.0,18.1,18.1,0.0,19.3,18.35,0.0
2025-6-21 12:00,48.3,14.28,22.1,21.1,0.0,20.1,20.1,0.0,21.1,20.6,0.0
2025-6-21 13:00,48.3,14.28,23.4,22.7,0.0,21.5,21.5,0.0,22.45,22.1,0.0
2025-6-21 14:00,48.3,14.28,24.5,24.0,0.0,22.7,24.2,0.0,23.6,24.1,0.0
2025-6-21 15:00,48.3,14.28,24.9,24.5,0.0,23.1,24.2,0.0,24.0,24.35,0.0
2025-6-21 16:00,48.3,14.28,25.6,24.9,0.0,23.5,24.3,0.0,24.55,24.6,0.0
2025-6-21 17:00,48.3,14.28,26.1,25.1,0.0,23.9,24.4,0.0,25.0,24.75,0.0
2025-6-21 18:00,48.3,14.28,26.6,24.8,0.0,24.1,24.5,0.0,25.35,24.65,0.0
2025-6-21 19:00,48.3,14.28,26.6,23.8,0.0,23.7,24.5,0.0,25.15,24.15,0.0
2025-6-21 20:00,48.3,14.28,26.1,22.5,0.0,22.5,24.4,0.0,24.3,23.45,0.0
2025-6-21 21:00,48.3,14.28,25.2,22.4,0.0,20.6,20.6,0.0,22.9,21.5,0.0
2025-6-21 22:00,48.3,14.28,23.3,21.0,0.0,17.8,17.8,0.0,20.55,19.4,0.0
2025-6-21 23:00,48.3,14.28,21.3,20.1,0.0,14.9,14.6,0.0,18.1,17.35,0.0
2025-6-22 0:00,48.3,14.28,20.8,19.6,0.0,13.5,13.0,0.0,17.15,16.3,0.0
2025-6-22 1:00,48.3,14.28,20.0,18.8,0.0,12.4,12.0,0.0,16.2,15.4,0.0
2025-6-22 2:00,48.3,14.28,18.9,18.2,0.0,11.7,11.1,0.0,15.299999999999999,14.649999999999999,0.0
2025-6-22 3:00,48.3,14.28,17.5,16.7,0.0,10.8,10.3,0.0,14.15,13.5,0.0
2025-6-22 4:00,48.3,14.28,16.8,15.9,0.0,10.7,10.3,0.0,13.75,13.100000000000001,0.0
2025-6-22 5:00,48.3,14.28,16.3,15.7,0.0,10.9,10.9,0.0,13.600000000000001,13.3,0.0
2025-6-22 6:00,48.3,14.28,14.9,14.7,0.0,10.4,10.4,0.0,12.65,12.55,0.0
2025-6-22 7:00,48.3,14.28,14.2,13.9,0.0,10.2,10.1,0.0,12.2,12.0,0.0
2025-6-22 8:00,48.3,14.28,14.6,14.4,0.0,10.9,10.9,0.0,12.75,12.65,0.0
2025-6-22 9:00,48.3,14.28,16.1,15.4,0.0,13.7,14.3,0.0,14.9,14.850000000000001,0.0
2025-6-22 10:00,48.3,14.28,18.5,17.6,0.0,16.1,16.1,0.0,17.3,16.85,0.0
2025-6-22 11:00,48.3,14.28,20.9,20.2,0.0,18.4,18.4,0.0,19.65,19.299999999999997,0.0
2025-6-22 12:00,48.3,14.28,23.2,22.5,0.0,20.7,20.7,0.0,21.95,21.6,0.0
2025-6-22 13:00,48.3,14.28,25.1,25.0,0.0,22.7,24.6,0.0,23.9,24.8,0.0
2025-6-22 14:00,48.3,14.28,27.1,27.2,0.0,24.3,25.2,0.0,25.700000000000003,26.2,0.0
2025-6-22 15:00,48.3,14.28,28.2,28.3,0.0,24.4,25.2,0.0,26.299999999999997,26.75,0.0
2025-6-22 16:00,48.3,14.28,29.4,29.0,0.0,25.6,25.7,0.0,27.5,27.35,0.0
2025-6-22 17:00,48.3,14.28,30.2,29.1,0.0,26.5,26.1,0.0,28.35,27.6,0.0
2025-6-22 18:00,48.3,14.28,30.6,28.6,0.0,26.9,26.3,0.0,28.75,27.450000000000003,0.0
2025-6-22 19:00,48.3,14.28,30.4,27.5,0.0,26.8,26.3,0.0,28.6,26.9,0.0
2025-6-22 20:00,48.3,14.28,30.0,26.6,0.0,26.3,26.2,0.0,28.15,26.4,0.0
2025-6-22 21:00,48.3,14.28,29.5,26.6,0.0,24.8,25.9,0.0,27.15,26.25,0.0
2025-6-22 22:00,48.3,14.28,27.5,25.9,0.0,21.4,21.4,0.0,24.45,23.65,0.0
2025-6-22 23:00,48.3,14.28,24.3,22.5,0.0,18.0,18.0,0.0,21.15,20.25,0.0
2025-6-23 0:00,48.3,14.28,21.6,20.2,0.0,16.6,16.6,0.0,19.1,18.4,0.0
2025-6-23 1:00,48.3,14.28,20.3,19.5,0.0,15.7,15.7,0.0,18.0,17.6,0.0
2025-6-23 2:00,48.3,14.28,20.0,19.8,0.0,15.1,15.1,0.0,17.55,17.45,0.0
2025-6-23 3:00,48.3,14.28,17.9,17.8,0.0,14.2,14.9,0.0,16.049999999999997,16.35,0.0
2025-6-23 4:00,48.3,14.28,16.9,17.1,0.0,14.3,14.3,0.0,15.6,15.700000000000001,0.0
2025-6-23 5:00,48.3,14.28,16.6,16.4,0.0,14.6,14.6,0.0,15.600000000000001,15.5,0.0
2025-6-23 6:00,48.3,14.28,16.3,16.0,0.0,14.3,14.3,0.0,15.3,15.15,0.0
2025-6-23 7:00,48.3,14.28,16.1,16.2,0.0,14.0,14.1,0.0,15.05,15.149999999999999,0.0
2025-6-23 8:00,48.3,14.28,17.1,16.8,0.0,15.0,15.0,0.0,16.05,15.9,0.0
2025-6-23 9:00,48.3,14.28,18.4,18.4,0.0,17.2,17.2,0.0,17.799999999999997,17.799999999999997,0.0
2025-6-23 10:00,48.3,14.28,20.6,20.9,0.0,19.4,19.4,0.0,20.0,20.15,0.0
2025-6-23 11:00,48.3,14.28,22.7,22.5,3.0,22.0,22.0,0.0,22.35,22.25,1.5
2025-6-23 12:00,48.3,14.28,23.7,23.4,10.0,23.9,25.3,0.0,23.799999999999997,24.35,5.0
2025-6-23 13:00,48.3,14.28,24.6,25.3,8.0,25.7,26.4,0.0,25.15,25.85,4.0
2025-6-23 14:00,48.3,14.28,26.6,29.6,5.0,27.2,27.6,0.0,26.9,28.6,2.5
2025-6-23 15:00,48.3,14.28,28.7,31.2,15.0,27.5,27.8,0.0,28.1,29.5,7.5
2025-6-23 16:00,48.3,14.28,30.4,33.3,28.0,28.0,28.4,0.0,29.2,30.849999999999998,14.0
2025-6-23 17:00,48.3,14.28,24.4,21.1,65.0,28.2,28.6,0.0,26.299999999999997,24.85,32.5
2025-6-23 18:00,48.3,14.28,24.3,24.6,75.0,27.0,27.7,0.0,25.65,26.15,37.5
2025-6-23 19:00,48.3,14.28,23.5,24.5,48.0,27.1,28.0,100.0,25.3,26.25,74.0
2025-6-23 20:00,48.3,14.28,21.8,22.1,43.0,19.4,19.4,100.0,20.6,20.75,71.5
2025-6-23 21:00,48.3,14.28,20.5,21.9,55.0,17.5,17.5,100.0,19.0,19.7,77.5
2025-6-23 22:00,48.3,14.28,20.0,22.1,73.0,16.8,16.8,100.0,18.4,19.450000000000003,86.5
2025-6-23 23:00,48.3,14.28,19.9,21.7,85.0,16.1,16.1,100.0,18.0,18.9,92.5
2025-6-24 0:00,48.3,14.28,19.0,20.5,23.0,15.9,15.9,45.0,17.45,18.2,34.0
2025-6-24 1:00,48.3,14.28,18.5,20.2,0.0,15.5,15.5,45.0,17.0,17.85,22.5
2025-6-24 2:00,48.3,14.28,18.4,20.4,0.0,15.5,15.5,100.0,16.95,17.95,50.0
2025-6-24 3:00,48.3,14.28,18.5,19.4,0.0,14.7,14.4,81.0,16.6,16.9,40.5
2025-6-24 4:00,48.3,14.28,17.7,18.6,0.0,15.1,15.1,0.0,16.4,16.85,0.0
2025-6-24 5:00,48.3,14.28,17.2,18.0,0.0,15.0,14.8,0.0,16.1,16.4,0.0
2025-6-24 6:00,48.3,14.28,17.1,17.9,0.0,14.9,14.6,0.0,16.0,16.25,0.0
2025-6-24 7:00,48.3,14.28,17.4,18.4,0.0,14.9,14.8,0.0,16.15,16.6,0.0
2025-6-24 8:00,48.3,14.28,18.0,19.0,0.0,14.9,14.7,0.0,16.45,16.85,0.0
2025-6-24 9:00,48.3,14.28,19.4,20.1,0.0,16.7,16.7,0.0,18.049999999999997,18.4,0.0
2025-6-24 10:00,48.3,14.28,20.6,20.9,0.0,17.9,17.9,0.0,19.25,19.4,0.0
2025-6-24 11:00,48.3,14.28,21.8,21.4,0.0,19.8,19.8,0.0,20.8,20.6,0.0
2025-6-24 12:00,48.3,14.28,23.4,22.9,0.0,21.8,21.8,0.0,22.6,22.35,0.0
2025-6-24 13:00,48.3,14.28,24.7,23.8,0.0,23.2,25.0,0.0,23.95,24.4,0.0
2025-6-24 14:00,48.3,14.28,26.0,25.2,0.0,24.5,25.6,0.0,25.25,25.4,0.0
2025-6-24 15:00,48.3,14.28,27.0,27.1,0.0,25.4,26.1,0.0,26.2,26.6,0.0
2025-6-24 16:00,48.3,14.28,27.7,27.6,0.0,26.3,26.6,0.0,27.0,27.1,0.0
2025-6-24 17:00,48.3,14.28,28.2,27.8,0.0,27.0,27.3,0.0,27.6,27.55,0.0
2025-6-24 18:00,48.3,14.28,28.6,26.7,0.0,27.3,27.6,0.0,27.950000000000003,27.15,0.0
2025-6-24 19:00,48.3,14.28,28.3,26.5,0.0,27.1,27.5,0.0,27.700000000000003,27.0,0.0
2025-6-24 20:00,48.3,14.28,27.6,26.4,0.0,29.0,26.9,0.0,28.3,26.65,0.0
2025-6-24 21:00,48.3,14.28,26.3,25.3,0.0,24.8,26.0,0.0,25.55,25.65,0.0
2025-6-24 22:00,48.3,14.28,24.0,24.2,0.0,22.0,22.0,0.0,23.0,23.1,0.0
2025-6-24 23:00,48.3,14.28,21.7,22.0,0.0,18.6,18.6,0.0,20.15,20.3,0.0
2025-6-25 0:00,48.3,14.28,20.4,20.7,0.0,17.1,17.2,0.0,18.75,18.95,0.0
2025-6-25 1:00,48.3,14.28,19.5,20.2,0.0,16.3,16.3,0.0,17.9,18.25,0.0
2025-6-25 2:00,48.3,14.28,19.0,19.9,0.0,15.6,15.6,0.0,17.3,17.75,0.0
